,OBJECTID,BYGNING_ID,FYLKES_NR,FYLKES_NAV,KOMMUNE_NR,KOMMUNE_NA,BYGNINGS_N,BYGNING_LN,BYGNINGSTY,BYGNINGS_1,BYGNINGSST,BYGNINGS_2,GODKJENT_D,IGANGSATT_,TATT_I_BRU,TATT_I_B_1,NAERINGSGR,NAERINGS_1,PAABYGG_TI,PAABYGG__1,REGISTRERT,REGISTRE_1,VANNFORSYN,VANNFORS_1,BRUKSAREAL,BRUKSARE_1,BRUKSARE_2,ANTALL_ETA,ANTALL_BOL,LKOORDINAT,LKOORDIN_1,LKOORDIN_2,LKOORDIN_3,LKOORDIN_4,LX_KOORDIN,LY_KOORDIN,LZ_KOORDIN,UKOORDINAT,UKOORDIN_1,UKOORDIN_2,UKOORDIN_3,UKOORDIN_4,UX_KOORDIN,UY_KOORDIN,UZ_KOORDIN,EIENDOM_AN,HAR_HEIS,BEBYGD_ARE,Romoppvarming,Ventilasjonsprinsipp,Varmt_tappevann_fra,Siste_rehab,Byggetype,Byggtype_profet,Energistandard_profet,Energibronn,Varme_fra_energisentral,Strøm,Energiomraadeid,SHAPE,oppgraderes,grunnvarme,solceller,luft_luft_varmepumpe,fjernvarme,grunnvarme_meter,grunnvarme_kostnad,_nettutveksling_energi,_nettutveksling_vintereffekt,_nettutveksling_sommereffekt,_termisk_energibehov_sum,_levert_fra_kilde_sum,_fjernvarmeproduksjon_sum,_elspesifikt_energibehov_sum,_kompressor_sum,_spisslast_sum,_solcelleproduksjon_sum,_termisk_energibehov_vintereffekt,_levert_fra_kilde_vintereffekt,_fjernvarmeproduksjon_vintereffekt,_elspesifikt_energibehov_vintereffekt,_kompressor_vintereffekt,_spisslast_vintereffekt,_solcelleproduksjon_vintereffekt,_termisk_energibehov_sommereffekt,_levert_fra_kilde_sommereffekt,_fjernvarmeproduksjon_sommereffekt,_elspesifikt_energibehov_sommereffekt,_kompressor_sommereffekt,_spisslast_sommereffekt,_solcelleproduksjon_sommereffekt,scenario_navn,_utetemperatur,_termisk_energibehov,_elspesifikt_energibehov,_kompressor,_levert_fra_kilde,_spisslast,_fjernvarmeproduksjon,_solcelleproduksjon,_nettutveksling_energi_liste
0,1,520146,3,OSLO,301,OSLO,80632169,0,329,Annen forretningsbygning,TB,Tatt i bruk,19670822,19680927,19691114,19691114,G,"Varehandel, reparasjon av motorvogner", , ,19680927,19670822,0,Ikke utfylt,3774.0,0.0,3774.0,4,0,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648663.0,596771.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655077.53,261858.1,0.0,1,J,0.0,Radiator,Balansert,"Egen produksjon, samt tilskudd fra Varmesentral 2 (OMT38)",2018,Næring/energisentral,L,Y,,,,A,"{'x': 596771, 'y': 6648663, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,True,False,False,False,1768.0,1060800.0,0.6668,0.172,0.114,0.2913595961,0.1414148557,0.0,0.5168470026,0.0565659423,0.093378798,0.0,0.1200462904,0.0204315429,0,0.0728027784,0.0081726172,0.0914421304,0,0.016806841,0.0120048864,0,0.1095026628,0.0048019546,0.0,0,Referansesituasjon,[0],"[37.06283533 36.90407183 36.5595211  ... 43.2608359  40.67011699
 39.68835731]","[38.44459712 37.74379551 37.37325589 ... 40.88473003 39.7404555
 38.65360954]",[8.17261716 8.17261716 8.17261716 ... 8.17261716 8.17261716 8.17261716],"[-20.43154291 -20.43154291 -20.43154291 ... -20.43154291 -20.43154291
 -20.43154291]","[ 8.45867526  8.29991176  7.95536103 ... 14.65667583 12.06595692
 11.08419724]",0,0,"[55.07588954 54.21632443 53.50123408 ... 63.71402303 59.97902958
 57.91042395]"
1,31,562854,3,OSLO,301,OSLO,81100020,0,152,Studenthjem/studentboliger,TB,Tatt i bruk,19890505,19890703,19910123,19910123,X,Bolig, , ,19890703,19890505,1,Tilkn. off. vannverk,2012.0,2012.0,0.0,5,28,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648633.0,596724.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655051.89,261808.55,0.0,1,N,1.0,Panelovn,Avtrekksventilasjon. Balansert i kjeller,Varmesentral 1 (OMT72),1991,Boligblokk,B,Y,,320264,309869,A,"{'x': 596724, 'y': 6648633, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,True,False,False,False,1501.0,900600.0,0.1776,0.055,0.012,0.2169718573,0.1200501589,0.0,0.0806353803,0.0480200636,0.0489016348,0.0,0.0648530668,0.0178017745,0,0.008216505,0.0071207098,0.0399305826,0,0.0096527774,0.006894841,0,0.0093931896,0.0027579364,0.0,0,Referansesituasjon,[0],"[29.57144344 26.70757511 25.18549651 ... 39.16406429 34.90924785
 32.13962583]",[ 8.3788064  6.5224849  5.8631356 ... 14.3940995 12.8319491 10.1844086],[7.12070978 7.12070978 7.12070978 ... 7.12070978 7.12070978 7.12070978],"[-17.80177446 -17.80177446 -17.80177446 ... -17.80177446 -17.80177446
 -17.80177446]","[ 4.64895919  1.78509087  0.26301226 ... 14.24158004  9.9867636
  7.21714158]",0,0,"[20.14847538 15.42828555 13.24685765 ... 35.75638933 29.93942249
 24.52225997]"
2,32,562855,3,OSLO,301,OSLO,81100039,0,152,Studenthjem/studentboliger,TB,Tatt i bruk,19890505,19890621,19910109,19910109,Y,Annet som ikke er næring, , ,19890621,19890505,1,Tilkn. off. vannverk,1672.0,1616.0,56.0,5,63,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648597.0,596725.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655015.93,261806.29,0.0,1,N,1.0,Panelovn,Balansert,Varmesentral 1 (OMT72),2022,Boligblokk,B,Y,,240198,115027,A,"{'x': 596725, 'y': 6648597, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,True,False,False,False,1247.0,748200.0,0.1476,0.046,0.01,0.1803066329,0.0997633527,0.0,0.0670091232,0.0399053411,0.0406379391,0.0,0.0538938011,0.0147935223,0,0.00682803,0.0059174089,0.0331828698,0,0.0080215924,0.0057297088,0,0.0078058713,0.0022918835,0.0,0,Referansesituasjon,[0],"[24.57428103 22.19436659 20.92949809 ... 32.54588245 29.01007078
 26.70847634]","[ 6.96290472  5.42027572  4.87234728 ... 11.961697   10.66352828
  8.46338528]",[5.91740893 5.91740893 5.91740893 ... 5.91740893 5.91740893 5.91740893],"[-14.79352232 -14.79352232 -14.79352232 ... -14.79352232 -14.79352232
 -14.79352232]","[ 3.86334978  1.48343535  0.21856685 ... 11.83495121  8.29913953
  5.99754509]",0,0,"[16.74366343 12.82112    11.00832305 ... 29.71405713 24.88007674
 20.3783393 ]"
3,35,562856,3,OSLO,301,OSLO,81100047,0,152,Studenthjem/studentboliger,TB,Tatt i bruk,19890505,19890621,19901031,19901031,Y,Annet som ikke er næring, , ,19890621,19890505,1,Tilkn. off. vannverk,1672.0,1616.0,56.0,5,63,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648598.0,596687.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655020.37,261768.51,0.0,1,N,1.0,Panelovn,Balansert,Varmesentral 1 (OMT72),2021,Boligblokk,B,Y,,240198,234408,A,"{'x': 596687, 'y': 6648598, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,True,False,False,False,1247.0,748200.0,0.1476,0.046,0.01,0.1803066329,0.0997633527,0.0,0.0670091232,0.0399053411,0.0406379391,0.0,0.0538938011,0.0147935223,0,0.00682803,0.0059174089,0.0331828698,0,0.0080215924,0.0057297088,0,0.0078058713,0.0022918835,0.0,0,Referansesituasjon,[0],"[24.57428103 22.19436659 20.92949809 ... 32.54588245 29.01007078
 26.70847634]","[ 6.96290472  5.42027572  4.87234728 ... 11.961697   10.66352828
  8.46338528]",[5.91740893 5.91740893 5.91740893 ... 5.91740893 5.91740893 5.91740893],"[-14.79352232 -14.79352232 -14.79352232 ... -14.79352232 -14.79352232
 -14.79352232]","[ 3.86334978  1.48343535  0.21856685 ... 11.83495121  8.29913953
  5.99754509]",0,0,"[16.74366343 12.82112    11.00832305 ... 29.71405713 24.88007674
 20.3783393 ]"
4,38,562857,3,OSLO,301,OSLO,81100055,0,152,Studenthjem/studentboliger,TB,Tatt i bruk,19890505,19890621,19900817,19900817,X,Bolig, , ,19890621,19890505,1,Tilkn. off. vannverk,1616.0,1616.0,0.0,4,63,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648595.0,596651.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655020.64,261732.37,0.0,1,N,0.0,Panelovn,Avtrekksventilasjon,Varmesentral 1 (OMT72),1991,Boligblokk,B,Y,,240198,225041,A,"{'x': 596651, 'y': 6648595, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,True,False,False,False,1205.0,723000.0,0.1426,0.044,0.01,0.1742676548,0.0964219964,0.0,0.0647647985,0.0385687986,0.0392768598,0.0,0.0520887455,0.0142980455,0,0.00659934,0.0057192182,0.0320714818,0,0.0077529266,0.0055378047,0,0.0075444306,0.0022151219,0.0,0,Referansesituasjon,[0],"[23.75121898 21.4510146  20.22851012 ... 31.45582897 28.03844161
 25.81393407]","[ 6.72969739  5.23873539  4.70915861 ... 11.561066   10.30637661
  8.17992261]",[5.7192182 5.7192182 5.7192182 ... 5.7192182 5.7192182 5.7192182],"[-14.29804549 -14.29804549 -14.29804549 ... -14.29804549 -14.29804549
 -14.29804549]","[ 3.73395529  1.43375091  0.21124643 ... 11.43856528  8.02117792
  5.79667038]",0,0,"[16.18287088 12.3917045  10.63962324 ... 28.71884948 24.04677273
 19.69581119]"
5,40,562858,3,OSLO,301,OSLO,81100063,0,152,Studenthjem/studentboliger,TB,Tatt i bruk,19890505,19890621,19900411,19900411,X,Bolig, , ,19890621,19890505,1,Tilkn. off. vannverk,1616.0,1616.0,0.0,4,63,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648593.0,596615.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655021.91,261696.31,0.0,1,N,0.0,Panelovn,Avtrekksventilasjon,Varmesentral 1 (OMT72),1991,Boligblokk,B,Y,,240198,217773,A,"{'x': 596615, 'y': 6648593, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,True,False,False,False,1205.0,723000.0,0.1426,0.044,0.01,0.1742676548,0.0964219964,0.0,0.0647647985,0.0385687986,0.0392768598,0.0,0.0520887455,0.0142980455,0,0.00659934,0.0057192182,0.0320714818,0,0.0077529266,0.0055378047,0,0.0075444306,0.0022151219,0.0,0,Referansesituasjon,[0],"[23.75121898 21.4510146  20.22851012 ... 31.45582897 28.03844161
 25.81393407]","[ 6.72969739  5.23873539  4.70915861 ... 11.561066   10.30637661
  8.17992261]",[5.7192182 5.7192182 5.7192182 ... 5.7192182 5.7192182 5.7192182],"[-14.29804549 -14.29804549 -14.29804549 ... -14.29804549 -14.29804549
 -14.29804549]","[ 3.73395529  1.43375091  0.21124643 ... 11.43856528  8.02117792
  5.79667038]",0,0,"[16.18287088 12.3917045  10.63962324 ... 28.71884948 24.04677273
 19.69581119]"
6,42,562859,3,OSLO,301,OSLO,81100071,0,152,Studenthjem/studentboliger,TB,Tatt i bruk,19890505,19890621,19900601,19900601,X,Bolig, , ,19890621,19890505,1,Tilkn. off. vannverk,1616.0,1616.0,0.0,4,63,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648629.0,596618.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655057.51,261702.56,0.0,1,N,0.0,Panelovn,Avtrekksventilasjon,Varmesentral 1 (OMT72),1991,Boligblokk,B,Y,,240198,209777,A,"{'x': 596618, 'y': 6648629, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,True,False,False,False,1205.0,723000.0,0.1426,0.044,0.01,0.1742676548,0.0964219964,0.0,0.0647647985,0.0385687986,0.0392768598,0.0,0.0520887455,0.0142980455,0,0.00659934,0.0057192182,0.0320714818,0,0.0077529266,0.0055378047,0,0.0075444306,0.0022151219,0.0,0,Referansesituasjon,[0],"[23.75121898 21.4510146  20.22851012 ... 31.45582897 28.03844161
 25.81393407]","[ 6.72969739  5.23873539  4.70915861 ... 11.561066   10.30637661
  8.17992261]",[5.7192182 5.7192182 5.7192182 ... 5.7192182 5.7192182 5.7192182],"[-14.29804549 -14.29804549 -14.29804549 ... -14.29804549 -14.29804549
 -14.29804549]","[ 3.73395529  1.43375091  0.21124643 ... 11.43856528  8.02117792
  5.79667038]",0,0,"[16.18287088 12.3917045  10.63962324 ... 28.71884948 24.04677273
 19.69581119]"
7,44,562860,3,OSLO,301,OSLO,81100098,0,152,Studenthjem/studentboliger,TB,Tatt i bruk,19890505,19890621,19900919,19900919,X,Bolig, , ,19890621,19890505,1,Tilkn. off. vannverk,1616.0,1616.0,0.0,4,63,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648631.0,596653.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655056.33,261737.62,0.0,1,N,1.0,Panelovn,Avtrekksventilasjon,Varmesentral 1 (OMT72),1991,Boligblokk,B,Y,,240198,162351,A,"{'x': 596653, 'y': 6648631, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,True,False,False,False,1205.0,723000.0,0.1426,0.044,0.01,0.1742676548,0.0964219964,0.0,0.0647647985,0.0385687986,0.0392768598,0.0,0.0520887455,0.0142980455,0,0.00659934,0.0057192182,0.0320714818,0,0.0077529266,0.0055378047,0,0.0075444306,0.0022151219,0.0,0,Referansesituasjon,[0],"[23.75121898 21.4510146  20.22851012 ... 31.45582897 28.03844161
 25.81393407]","[ 6.72969739  5.23873539  4.70915861 ... 11.561066   10.30637661
  8.17992261]",[5.7192182 5.7192182 5.7192182 ... 5.7192182 5.7192182 5.7192182],"[-14.29804549 -14.29804549 -14.29804549 ... -14.29804549 -14.29804549
 -14.29804549]","[ 3.73395529  1.43375091  0.21124643 ... 11.43856528  8.02117792
  5.79667038]",0,0,"[16.18287088 12.3917045  10.63962324 ... 28.71884948 24.04677273
 19.69581119]"
8,46,562861,3,OSLO,301,OSLO,81100101,0,152,Studenthjem/studentboliger,TB,Tatt i bruk,19890505,19890621,19901123,19901123,Y,Annet som ikke er næring, , ,19890621,19890505,1,Tilkn. off. vannverk,1672.0,1616.0,56.0,5,63,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648648.0,596692.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655069.74,261778.02,0.0,1,N,1.0,Panelovn,Balansert,Varmesentral 1 (OMT72),2022,Boligblokk,B,Y,,240198,133695,A,"{'x': 596692, 'y': 6648648, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,True,False,False,False,1247.0,748200.0,0.1476,0.046,0.01,0.1803066329,0.0997633527,0.0,0.0670091232,0.0399053411,0.0406379391,0.0,0.0538938011,0.0147935223,0,0.00682803,0.0059174089,0.0331828698,0,0.0080215924,0.0057297088,0,0.0078058713,0.0022918835,0.0,0,Referansesituasjon,[0],"[24.57428103 22.19436659 20.92949809 ... 32.54588245 29.01007078
 26.70847634]","[ 6.96290472  5.42027572  4.87234728 ... 11.961697   10.66352828
  8.46338528]",[5.91740893 5.91740893 5.91740893 ... 5.91740893 5.91740893 5.91740893],"[-14.79352232 -14.79352232 -14.79352232 ... -14.79352232 -14.79352232
 -14.79352232]","[ 3.86334978  1.48343535  0.21856685 ... 11.83495121  8.29913953
  5.99754509]",0,0,"[16.74366343 12.82112    11.00832305 ... 29.71405713 24.88007674
 20.3783393 ]"
9,58,592797,3,OSLO,301,OSLO,81538476,0,152,Studenthjem/studentboliger,FA,Ferdigattest,19661216,19671025,19690604,20171102,X,Bolig, , ,20171102,20171102,0,Ikke utfylt,1969.0,1969.0,0.0,5,72,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648747.0,596757.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655162.5,261851.77,0.0,1,N,2.0,Radiator,Balansert,Varmesentral 1 (OMT72),2018,Boligblokk,B,Y,,274512,50799,A,"{'x': 596757, 'y': 6648747, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",True,True,False,False,False,1469.0,881400.0,0.1738,0.054,0.012,0.2123347848,0.1174844746,0.0,0.0789120595,0.0469937898,0.0478565204,0.0,0.063467042,0.017421319,0,0.0080409038,0.0069685276,0.0390771954,0,0.0094464805,0.0067474861,0,0.0091924405,0.0026989944,0.0,0,Referansesituasjon,[0],"[28.93944937 26.13678698 24.64723789 ... 38.32705894 34.16317546
 31.45274516]","[ 8.19973648  6.38308786  5.73783002 ... 14.08647213 12.55770764
  9.96674977]",[6.96852762 6.96852762 6.96852762 ... 6.96852762 6.96852762 6.96852762],"[-17.42131904 -17.42131904 -17.42131904 ... -17.42131904 -17.42131904
 -17.42131904]","[ 4.54960271  1.74694031  0.25739122 ... 13.93721228  9.77332879
  7.0628985 ]",0,0,"[19.71786681 15.09855579 12.96374886 ... 34.99221202 29.29956405
 23.99817588]"
