,OBJECTID,BYGNING_ID,FYLKES_NR,FYLKES_NAV,KOMMUNE_NR,KOMMUNE_NA,BYGNINGS_N,BYGNING_LN,BYGNINGSTY,BYGNINGS_1,BYGNINGSST,BYGNINGS_2,GODKJENT_D,IGANGSATT_,TATT_I_BRU,TATT_I_B_1,NAERINGSGR,NAERINGS_1,PAABYGG_TI,PAABYGG__1,REGISTRERT,REGISTRE_1,VANNFORSYN,VANNFORS_1,BRUKSAREAL,BRUKSARE_1,BRUKSARE_2,ANTALL_ETA,ANTALL_BOL,LKOORDINAT,LKOORDIN_1,LKOORDIN_2,LKOORDIN_3,LKOORDIN_4,LX_KOORDIN,LY_KOORDIN,LZ_KOORDIN,UKOORDINAT,UKOORDIN_1,UKOORDIN_2,UKOORDIN_3,UKOORDIN_4,UX_KOORDIN,UY_KOORDIN,UZ_KOORDIN,EIENDOM_AN,HAR_HEIS,BEBYGD_ARE,Romoppvarming,Ventilasjonsprinsipp,Varmt_tappevann_fra,Siste_rehab,Byggetype,Byggtype_profet,Energistandard_profet,Energibronn,Varme_fra_energisentral,Strøm,Energiomraadeid,SHAPE,oppgraderes,grunnvarme,solceller,luft_luft_varmepumpe,fjernvarme,_utetemperatur,_termisk_energibehov,_elspesifikt_energibehov,_kompressor,_levert_fra_kilde,_spisslast,_fjernvarmeproduksjon,_solcelleproduksjon,grunnvarme_meter,grunnvarme_kostnad,_nettutveksling_energi_liste,_nettutveksling_energi,_nettutveksling_vintereffekt,_nettutveksling_sommereffekt,_termisk_energibehov_sum,_levert_fra_kilde_sum,_fjernvarmeproduksjon_sum,_elspesifikt_energibehov_sum,_kompressor_sum,_spisslast_sum,_solcelleproduksjon_sum,_termisk_energibehov_vintereffekt,_levert_fra_kilde_vintereffekt,_fjernvarmeproduksjon_vintereffekt,_elspesifikt_energibehov_vintereffekt,_kompressor_vintereffekt,_spisslast_vintereffekt,_solcelleproduksjon_vintereffekt,_termisk_energibehov_sommereffekt,_levert_fra_kilde_sommereffekt,_fjernvarmeproduksjon_sommereffekt,_elspesifikt_energibehov_sommereffekt,_kompressor_sommereffekt,_spisslast_sommereffekt,_solcelleproduksjon_sommereffekt
10,60,592798,3,OSLO,301,OSLO,81538484,0,152,Studenthjem/studentboliger,FA,Ferdigattest,19670306,19671026,19690604,20171102,X,Bolig, , ,20171102,20171102,0,Ikke utfylt,7807.0,7807.0,0.0,10,278,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648772.0,596732.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655189.68,261829.12,0.0,1,J,1.0,Radiator,Balansert,Varmesentral 1 (OMT72),2018,Boligblokk,B,Y,,1056110,885950,A,"{'x': 596732, 'y': 6648772, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,False,False,False,False,[0],"[114.74366746 103.63123206  97.72523422 ... 151.96513414 135.45551589
 124.70877676]","[32.51160118 25.3086678  22.75024832 ... 55.85225388 49.7907687
 39.51773257]",0,0,0,0,0,0,0,"[147.25526863 128.93989986 120.47548254 ... 207.81738802 185.24628458
 164.22650934]",1.1548,0.284,0.074,0.8418982555,0.0,0.0,0.3128829094,0.0,0.0,0.0,0.2516440818,0,0,0.0318818362,0,0,0,0.0374548874,0,0,0.0364476298,0,0,0
11,64,593922,3,OSLO,301,OSLO,81553394,0,152,Studenthjem/studentboliger,FA,Ferdigattest,19661216,19671031,19691126,20170829,X,Bolig, , ,20170829,20170829,0,Ikke utfylt,1991.0,1991.0,0.0,5,67,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648805.0,596668.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655228.36,261768.34,0.0,1,N,1.0,Panelovn,Avtrekksventilasjon,Varmesentral 1 (OMT72),1970,Boligblokk,B,X,,312639,267909,A,"{'x': 596668, 'y': 6648805, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,False,False,False,False,[0],"[47.0034611  43.2239456  40.98607474 ... 58.69737422 53.49818374
 50.89100348]","[ 8.29135365  6.45440727  5.80193985 ... 14.24386287 12.69801723
 10.0781101 ]",0,0,0,0,0,0,0,"[55.29481475 49.67835288 46.78801459 ... 72.9412371  66.19620096
 60.96911358]",0.4156,0.118,0.026,0.3357867409,0.0,0.0,0.0797937585,0.0,0.0,0.0,0.1102421335,0,0,0.0081307462,0,0,0,0.0169658565,0,0,0.0092951494,0,0,0
12,65,593923,3,OSLO,301,OSLO,81553408,0,152,Studenthjem/studentboliger,FA,Ferdigattest,19661216,19671031,19700220,20170829,X,Bolig, , ,20170829,20170829,0,Ikke utfylt,2164.0,2164.0,0.0,5,67,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648780.0,596611.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655208.61,261709.27,0.0,1,N,1.0,Panelovn,Avtrekksventilasjon,Varmesentral 1 (OMT72),1970,Boligblokk,B,X,,312639,397638,A,"{'x': 596611, 'y': 6648780, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,False,False,False,False,[0],"[51.08763929 46.97971787 44.54739616 ... 63.79764832 58.14669493
 55.31297415]","[ 9.01179774  7.01523724  6.30607626 ... 15.4815265  13.80136076
 10.95380726]",0,0,0,0,0,0,0,"[60.09943703 53.99495511 50.85347242 ... 79.27917482 71.94805569
 66.26678141]",0.4517,0.129,0.029,0.3649635899,0.0,0.0,0.0867271187,0.0,0.0,0.0,0.1198211838,0,0,0.008837235,0,0,0,0.0184400369,0,0,0.0101028143,0,0,0
13,71,593932,3,OSLO,301,OSLO,81553491,0,152,Studenthjem/studentboliger,FA,Ferdigattest,19661216,19670613,19680619,20170829,X,Bolig, , ,20170829,20170829,0,Ikke utfylt,2164.0,2164.0,0.0,5,67,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648755.0,596555.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655188.77,261651.2,0.0,1,N,1.0,Panelovn,Avtrekksventilasjon,Varmesentral 1 (OMT72),1970,Boligblokk,B,X,,312639,306648,A,"{'x': 596555, 'y': 6648755, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,False,False,False,False,[0],"[51.08763929 46.97971787 44.54739616 ... 63.79764832 58.14669493
 55.31297415]","[ 9.01179774  7.01523724  6.30607626 ... 15.4815265  13.80136076
 10.95380726]",0,0,0,0,0,0,0,"[60.09943703 53.99495511 50.85347242 ... 79.27917482 71.94805569
 66.26678141]",0.4517,0.129,0.029,0.3649635899,0.0,0.0,0.0867271187,0.0,0.0,0.0,0.1198211838,0,0,0.008837235,0,0,0,0.0184400369,0,0,0.0101028143,0,0,0
14,72,593933,3,OSLO,301,OSLO,81553505,0,152,Studenthjem/studentboliger,FA,Ferdigattest,19661216,19670803,19680802,20171019,Y,Annet som ikke er næring, , ,20171019,20171019,0,Ikke utfylt,3605.0,3580.0,25.0,5,126,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648675.0,596504.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655113.68,261593.13,0.0,1,N,1.0,Panelovn,Avtrekksventilasjon,Varmesentral 1 (OMT72),1970,Boligblokk,B,X,,549025,506479,A,"{'x': 596504, 'y': 6648675, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,False,False,False,False,[0],"[ 85.10671887  78.26334701  74.2113508  ... 106.28027829  96.86637487
  92.14568938]","[15.0127222  11.68665908 10.5052703  ... 25.79062062 22.99163842
 18.24790905]",0,0,0,0,0,0,0,"[100.11944108  89.95000609  84.7166211  ... 132.07089891 119.8580133
 110.39359843]",0.7525,0.214,0.048,0.6079915626,0.0,0.0,0.1444784025,0.0,0.0,0.0,0.1996096892,0,0,0.0147219187,0,0,0,0.0307191928,0,0,0.0168302428,0,0,0
15,73,593934,3,OSLO,301,OSLO,81553513,0,612,Barnehage,FA,Ferdigattest,19661216,19670803,19690604,20171019,Q,Helse- og sosialtjenester, , ,20171019,20171019,0,Ikke utfylt,561.0,0.0,561.0,2,0,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648689.0,596533.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655125.0,261623.3,0.0,1,J,1.0,Panelovn,Balansert,Varmesentral 1 (OMT72),1970,Barnehage,F,X,,117390,82643,A,"{'x': 596533, 'y': 6648689, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,False,False,False,False,[0],"[ 8.48956285  8.21734354  8.22996677 ... 10.21235834  9.27213339
  9.24518182]",[2.57169368 2.57169368 2.53390943 ... 2.40458614 2.47509004 2.53636274],0,0,0,0,0,0,0,"[11.06125652 10.78903722 10.7638762  ... 12.61694447 11.74722342
 11.78154456]",0.1098,0.042,0.013,0.0679470062,0.0,0.0,0.0418665194,0.0,0.0,0.0,0.0355094604,0,0,0.0067088874,0,0,0,0.0032224302,0,0,0.0099608389,0,0,0
16,74,593935,3,OSLO,301,OSLO,81553521,0,152,Studenthjem/studentboliger,FA,Ferdigattest,19661216,19670613,19680724,20170929,X,Bolig, , ,19010101,19010101,0,Ikke utfylt,2164.0,2164.0,0.0,5,67,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648643.0,596568.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655075.99,261654.01,0.0,1,N,1.0,Panelovn,Avtrekksventilasjon,Varmesentral 1 (OMT72),1970,Boligblokk,B,X,,312639,304293,A,"{'x': 596568, 'y': 6648643, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,False,False,False,False,[0],"[51.08763929 46.97971787 44.54739616 ... 63.79764832 58.14669493
 55.31297415]","[ 9.01179774  7.01523724  6.30607626 ... 15.4815265  13.80136076
 10.95380726]",0,0,0,0,0,0,0,"[60.09943703 53.99495511 50.85347242 ... 79.27917482 71.94805569
 66.26678141]",0.4517,0.129,0.029,0.3649635899,0.0,0.0,0.0867271187,0.0,0.0,0.0,0.1198211838,0,0,0.008837235,0,0,0,0.0184400369,0,0,0.0101028143,0,0,0
17,75,593936,3,OSLO,301,OSLO,81553548,0,152,Studenthjem/studentboliger,FA,Ferdigattest,19661216,19671125,19700110,20171102,Y,Annet som ikke er næring, , ,20171102,20171102,0,Ikke utfylt,3156.0,3156.0,0.0,4,66,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648725.0,596617.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655153.26,261710.27,0.0,1,N,1.0,Panelovn,Avtrekksventilasjon,Varmesentral 1 (OMT72),1970,Boligblokk,B,X,,564275,629648,A,"{'x': 596617, 'y': 6648725, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,False,False,False,False,[0],"[74.50674196 68.51570684 64.96838367 ... 93.0431507  84.80174178
 80.66901406]","[13.14289911 10.23109461  9.19684689 ... 22.5784185  20.12804739
 15.97514589]",0,0,0,0,0,0,0,"[ 87.64964106  78.74680145  74.16523057 ... 115.6215692  104.92978917
  96.64415995]",0.6588,0.188,0.042,0.5322666773,0.0,0.0,0.1264837277,0.0,0.0,0.0,0.1747484547,0,0,0.012888315,0,0,0,0.0268931407,0,0,0.0147340489,0,0,0
18,76,593937,3,OSLO,301,OSLO,81553556,0,612,Barnehage,FA,Ferdigattest,19661216,19671125,19700415,20171102,P,Undervisning, , ,20171102,20171102,0,Ikke utfylt,562.0,0.0,562.0,2,0,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648736.0,596646.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655161.6,261740.16,0.0,1,N,1.0,Panelovn,Balansert,Varmesentral 1 (OMT72),2009,Barnehage,F,X,,117390,99556,A,"{'x': 596646, 'y': 6648736, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,False,False,False,False,[0],"[ 8.50469576  8.23199121  8.24463694 ... 10.23056218  9.28866125
  9.26166165]",[2.5762778  2.5762778  2.5384262  ... 2.40887239 2.47950196 2.54088388],0,0,0,0,0,0,0,"[11.08097356 10.80826901 10.78306315 ... 12.63943457 11.76816322
 11.80254553]",0.11,0.042,0.013,0.0680681239,0.0,0.0,0.0419411478,0.0,0.0,0.0,0.0355727571,0,0,0.0067208462,0,0,0,0.0032281743,0,0,0.0099785944,0,0,0
19,77,593938,3,OSLO,301,OSLO,81553564,0,152,Studenthjem/studentboliger,FA,Ferdigattest,19661216,19671125,19691031,20171101,Y,Annet som ikke er næring, , ,20171101,20171101,0,Ikke utfylt,9945.0,9619.0,326.0,13,328,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648748.0,596674.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655171.02,261769.15,0.0,1,J,1.0,Radiator,Balansert,Varmesentral 1 (OMT72),2015,Boligblokk,B,X,,1250556,773317,A,"{'x': 596674, 'y': 6648748, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,False,False,False,False,[0],"[234.78122585 215.90263135 204.72451699 ... 293.19205757 267.22221862
 254.19941217]","[41.41512408 32.23961846 28.98055842 ... 71.14777313 63.42630904
 50.33993217]",0,0,0,0,0,0,0,"[276.19634993 248.14224981 233.70507541 ... 364.3398307  330.64852766
 304.53934434]",2.0758,0.591,0.131,1.6772471817,0.0,0.0,0.3985680202,0.0,0.0,0.0,0.5506569652,0,0,0.0406128937,0,0,0,0.0847440699,0,0,0.0464290609,0,0,0
