,OBJECTID,BYGNING_ID,FYLKES_NR,FYLKES_NAV,KOMMUNE_NR,KOMMUNE_NA,BYGNINGS_N,BYGNING_LN,BYGNINGSTY,BYGNINGS_1,BYGNINGSST,BYGNINGS_2,GODKJENT_D,IGANGSATT_,TATT_I_BRU,TATT_I_B_1,NAERINGSGR,NAERINGS_1,PAABYGG_TI,PAABYGG__1,REGISTRERT,REGISTRE_1,VANNFORSYN,VANNFORS_1,BRUKSAREAL,BRUKSARE_1,BRUKSARE_2,ANTALL_ETA,ANTALL_BOL,LKOORDINAT,LKOORDIN_1,LKOORDIN_2,LKOORDIN_3,LKOORDIN_4,LX_KOORDIN,LY_KOORDIN,LZ_KOORDIN,UKOORDINAT,UKOORDIN_1,UKOORDIN_2,UKOORDIN_3,UKOORDIN_4,UX_KOORDIN,UY_KOORDIN,UZ_KOORDIN,EIENDOM_AN,HAR_HEIS,BEBYGD_ARE,Romoppvarming,Ventilasjonsprinsipp,Varmt_tappevann_fra,Siste_rehab,Byggetype,Byggtype_profet,Energistandard_profet,Energibronn,Varme_fra_energisentral,Strøm,Energiomraadeid,SHAPE,oppgraderes,grunnvarme,solceller,luft_luft_varmepumpe,fjernvarme,_utetemperatur,_termisk_energibehov,_elspesifikt_energibehov,_kompressor,_levert_fra_kilde,_spisslast,_fjernvarmeproduksjon,_solcelleproduksjon,grunnvarme_meter,grunnvarme_kostnad,_nettutveksling_energi_liste,_nettutveksling_energi,_nettutveksling_vintereffekt,_nettutveksling_sommereffekt,_termisk_energibehov_sum,_levert_fra_kilde_sum,_fjernvarmeproduksjon_sum,_elspesifikt_energibehov_sum,_kompressor_sum,_spisslast_sum,_solcelleproduksjon_sum,_termisk_energibehov_vintereffekt,_levert_fra_kilde_vintereffekt,_fjernvarmeproduksjon_vintereffekt,_elspesifikt_energibehov_vintereffekt,_kompressor_vintereffekt,_spisslast_vintereffekt,_solcelleproduksjon_vintereffekt,_termisk_energibehov_sommereffekt,_levert_fra_kilde_sommereffekt,_fjernvarmeproduksjon_sommereffekt,_elspesifikt_energibehov_sommereffekt,_kompressor_sommereffekt,_spisslast_sommereffekt,_solcelleproduksjon_sommereffekt
0,1,520146,3,OSLO,301,OSLO,80632169,0,329,Annen forretningsbygning,TB,Tatt i bruk,19670822,19680927,19691114,19691114,G,"Varehandel, reparasjon av motorvogner", , ,19680927,19670822,0,Ikke utfylt,3774.0,0.0,3774.0,4,0,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648663.0,596771.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655077.53,261858.1,0.0,1,J,0.0,Radiator,Balansert,"Egen produksjon, samt tilskudd fra Varmesentral 2 (OMT38)",2018,Næring/energisentral,L,Y,,,,A,"{'x': 596771, 'y': 6648663, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,False,False,False,False,[0],"[37.06283533 36.90407183 36.5595211  ... 43.2608359  40.67011699
 39.68835731]","[38.44459712 37.74379551 37.37325589 ... 40.88473003 39.7404555
 38.65360954]",0,0,0,0,0,0,0,"[75.50743245 74.64786734 73.93277699 ... 84.14556594 80.41057249
 78.34196686]",0.8082,0.193,0.126,0.2913595961,0.0,0.0,0.5168470026,0.0,0.0,0.0,0.1200462904,0,0,0.0728027784,0,0,0,0.016806841,0,0,0.1095026628,0,0,0
1,31,562854,3,OSLO,301,OSLO,81100020,0,152,Studenthjem/studentboliger,TB,Tatt i bruk,19890505,19890703,19910123,19910123,X,Bolig, , ,19890703,19890505,1,Tilkn. off. vannverk,2012.0,2012.0,0.0,5,28,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648633.0,596724.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655051.89,261808.55,0.0,1,N,1.0,Panelovn,Avtrekksventilasjon. Balansert i kjeller,Varmesentral 1 (OMT72),1991,Boligblokk,B,X,,320264,309869,A,"{'x': 596724, 'y': 6648633, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,False,False,False,False,[0],"[47.4992284  43.6798486  41.41837387 ... 59.31648264 54.06245388
 51.42777449]",[ 8.3788064  6.5224849  5.8631356 ... 14.3940995 12.8319491 10.1844086],0,0,0,0,0,0,0,"[55.8780348  50.2023335  47.28150947 ... 73.71058214 66.89440298
 61.61218309]",0.42,0.12,0.027,0.3393284394,0.0,0.0,0.0806353803,0.0,0.0,0.0,0.1114049084,0,0,0.008216505,0,0,0,0.0171448033,0,0,0.0093931896,0,0,0
2,32,562855,3,OSLO,301,OSLO,81100039,0,152,Studenthjem/studentboliger,TB,Tatt i bruk,19890505,19890621,19910109,19910109,Y,Annet som ikke er næring, , ,19890621,19890505,1,Tilkn. off. vannverk,1672.0,1616.0,56.0,5,63,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648597.0,596725.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655015.93,261806.29,0.0,1,N,1.0,Panelovn,Balansert,Varmesentral 1 (OMT72),2022,Boligblokk,B,Y,,240198,115027,A,"{'x': 596725, 'y': 6648597, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,False,False,False,False,[0],"[24.57428103 22.19436659 20.92949809 ... 32.54588245 29.01007078
 26.70847634]","[ 6.96290472  5.42027572  4.87234728 ... 11.961697   10.66352828
  8.46338528]",0,0,0,0,0,0,0,"[31.53718575 27.61464232 25.80184537 ... 44.50757945 39.67359906
 35.17186161]",0.2473,0.061,0.016,0.1803066329,0.0,0.0,0.0670091232,0.0,0.0,0.0,0.0538938011,0,0,0.00682803,0,0,0,0.0080215924,0,0,0.0078058713,0,0,0
3,35,562856,3,OSLO,301,OSLO,81100047,0,152,Studenthjem/studentboliger,TB,Tatt i bruk,19890505,19890621,19901031,19901031,Y,Annet som ikke er næring, , ,19890621,19890505,1,Tilkn. off. vannverk,1672.0,1616.0,56.0,5,63,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648598.0,596687.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655020.37,261768.51,0.0,1,N,1.0,Panelovn,Balansert,Varmesentral 1 (OMT72),2021,Boligblokk,B,Y,,240198,234408,A,"{'x': 596687, 'y': 6648598, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,False,False,False,False,[0],"[24.57428103 22.19436659 20.92949809 ... 32.54588245 29.01007078
 26.70847634]","[ 6.96290472  5.42027572  4.87234728 ... 11.961697   10.66352828
  8.46338528]",0,0,0,0,0,0,0,"[31.53718575 27.61464232 25.80184537 ... 44.50757945 39.67359906
 35.17186161]",0.2473,0.061,0.016,0.1803066329,0.0,0.0,0.0670091232,0.0,0.0,0.0,0.0538938011,0,0,0.00682803,0,0,0,0.0080215924,0,0,0.0078058713,0,0,0
4,38,562857,3,OSLO,301,OSLO,81100055,0,152,Studenthjem/studentboliger,TB,Tatt i bruk,19890505,19890621,19900817,19900817,X,Bolig, , ,19890621,19890505,1,Tilkn. off. vannverk,1616.0,1616.0,0.0,4,63,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648595.0,596651.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655020.64,261732.37,0.0,1,N,0.0,Panelovn,Avtrekksventilasjon,Varmesentral 1 (OMT72),1991,Boligblokk,B,X,,240198,225041,A,"{'x': 596651, 'y': 6648595, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,False,False,False,False,[0],"[38.1504737  35.08282074 33.26644741 ... 47.64186677 43.42193115
 41.30580695]","[ 6.72969739  5.23873539  4.70915861 ... 11.561066   10.30637661
  8.17992261]",0,0,0,0,0,0,0,"[44.88017109 40.32155613 37.97560602 ... 59.20293277 53.72830776
 49.48572956]",0.3373,0.096,0.021,0.2725421263,0.0,0.0,0.0647647985,0.0,0.0,0.0,0.0894782962,0,0,0.00659934,0,0,0,0.0137703788,0,0,0.0075444306,0,0,0
5,40,562858,3,OSLO,301,OSLO,81100063,0,152,Studenthjem/studentboliger,TB,Tatt i bruk,19890505,19890621,19900411,19900411,X,Bolig, , ,19890621,19890505,1,Tilkn. off. vannverk,1616.0,1616.0,0.0,4,63,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648593.0,596615.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655021.91,261696.31,0.0,1,N,0.0,Panelovn,Avtrekksventilasjon,Varmesentral 1 (OMT72),1991,Boligblokk,B,X,,240198,217773,A,"{'x': 596615, 'y': 6648593, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,False,False,False,False,[0],"[38.1504737  35.08282074 33.26644741 ... 47.64186677 43.42193115
 41.30580695]","[ 6.72969739  5.23873539  4.70915861 ... 11.561066   10.30637661
  8.17992261]",0,0,0,0,0,0,0,"[44.88017109 40.32155613 37.97560602 ... 59.20293277 53.72830776
 49.48572956]",0.3373,0.096,0.021,0.2725421263,0.0,0.0,0.0647647985,0.0,0.0,0.0,0.0894782962,0,0,0.00659934,0,0,0,0.0137703788,0,0,0.0075444306,0,0,0
6,42,562859,3,OSLO,301,OSLO,81100071,0,152,Studenthjem/studentboliger,TB,Tatt i bruk,19890505,19890621,19900601,19900601,X,Bolig, , ,19890621,19890505,1,Tilkn. off. vannverk,1616.0,1616.0,0.0,4,63,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648629.0,596618.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655057.51,261702.56,0.0,1,N,0.0,Panelovn,Avtrekksventilasjon,Varmesentral 1 (OMT72),1991,Boligblokk,B,X,,240198,209777,A,"{'x': 596618, 'y': 6648629, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,False,False,False,False,[0],"[38.1504737  35.08282074 33.26644741 ... 47.64186677 43.42193115
 41.30580695]","[ 6.72969739  5.23873539  4.70915861 ... 11.561066   10.30637661
  8.17992261]",0,0,0,0,0,0,0,"[44.88017109 40.32155613 37.97560602 ... 59.20293277 53.72830776
 49.48572956]",0.3373,0.096,0.021,0.2725421263,0.0,0.0,0.0647647985,0.0,0.0,0.0,0.0894782962,0,0,0.00659934,0,0,0,0.0137703788,0,0,0.0075444306,0,0,0
7,44,562860,3,OSLO,301,OSLO,81100098,0,152,Studenthjem/studentboliger,TB,Tatt i bruk,19890505,19890621,19900919,19900919,X,Bolig, , ,19890621,19890505,1,Tilkn. off. vannverk,1616.0,1616.0,0.0,4,63,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648631.0,596653.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655056.33,261737.62,0.0,1,N,1.0,Panelovn,Avtrekksventilasjon,Varmesentral 1 (OMT72),1991,Boligblokk,B,X,,240198,162351,A,"{'x': 596653, 'y': 6648631, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,False,False,False,False,[0],"[38.1504737  35.08282074 33.26644741 ... 47.64186677 43.42193115
 41.30580695]","[ 6.72969739  5.23873539  4.70915861 ... 11.561066   10.30637661
  8.17992261]",0,0,0,0,0,0,0,"[44.88017109 40.32155613 37.97560602 ... 59.20293277 53.72830776
 49.48572956]",0.3373,0.096,0.021,0.2725421263,0.0,0.0,0.0647647985,0.0,0.0,0.0,0.0894782962,0,0,0.00659934,0,0,0,0.0137703788,0,0,0.0075444306,0,0,0
8,46,562861,3,OSLO,301,OSLO,81100101,0,152,Studenthjem/studentboliger,TB,Tatt i bruk,19890505,19890621,19901123,19901123,Y,Annet som ikke er næring, , ,19890621,19890505,1,Tilkn. off. vannverk,1672.0,1616.0,56.0,5,63,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648648.0,596692.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655069.74,261778.02,0.0,1,N,1.0,Panelovn,Balansert,Varmesentral 1 (OMT72),2022,Boligblokk,B,Y,,240198,133695,A,"{'x': 596692, 'y': 6648648, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,False,False,False,False,[0],"[24.57428103 22.19436659 20.92949809 ... 32.54588245 29.01007078
 26.70847634]","[ 6.96290472  5.42027572  4.87234728 ... 11.961697   10.66352828
  8.46338528]",0,0,0,0,0,0,0,"[31.53718575 27.61464232 25.80184537 ... 44.50757945 39.67359906
 35.17186161]",0.2473,0.061,0.016,0.1803066329,0.0,0.0,0.0670091232,0.0,0.0,0.0,0.0538938011,0,0,0.00682803,0,0,0,0.0080215924,0,0,0.0078058713,0,0,0
9,58,592797,3,OSLO,301,OSLO,81538476,0,152,Studenthjem/studentboliger,FA,Ferdigattest,19661216,19671025,19690604,20171102,X,Bolig, , ,20171102,20171102,0,Ikke utfylt,1969.0,1969.0,0.0,5,72,L,22,EUREF89 UTM Sone 32,52,DigitFraStrekKart1_1000,6648747.0,596757.0,0.0,U,23,EUREF89 UTM Sone 33,52,DigitFraStrekKart1_1000,6655162.5,261851.77,0.0,1,N,2.0,Radiator,Balansert,Varmesentral 1 (OMT72),2018,Boligblokk,B,Y,,274512,50799,A,"{'x': 596757, 'y': 6648747, 'spatialReference': {'wkid': 25832, 'latestWkid': 25832}}",False,False,False,False,False,[0],"[28.93944937 26.13678698 24.64723789 ... 38.32705894 34.16317546
 31.45274516]","[ 8.19973648  6.38308786  5.73783002 ... 14.08647213 12.55770764
  9.96674977]",0,0,0,0,0,0,0,"[37.13918585 32.51987483 30.3850679  ... 52.41353106 46.7208831
 41.41949493]",0.2912,0.072,0.019,0.2123347848,0.0,0.0,0.0789120595,0.0,0.0,0.0,0.063467042,0,0,0.0080409038,0,0,0,0.0094464805,0,0,0.0091924405,0,0,0
